Plants;Dwat;Ajam;Alit;Ubil;Ucon;Dpha;Dtol;Rpum
Abuta panamensis;1;0;0;0;0;0;0;0
Acrocomia aculeata;0;1;1;0;0;0;0;0
Anacardium excelsum;1;1;1;0;0;1;0;0
Anacardium occidentale;0;1;1;0;0;0;0;0
Andira inermis;0;1;1;0;1;1;0;0
Annona muricata;0;1;1;0;0;0;0;0
Annona squamosa;0;1;1;0;0;0;0;0
Astrocaryum confertum;1;0;0;0;0;0;0;0
Brosimum acutifolium;0;0;1;0;0;0;0;0
Brosimum alicastrum;1;1;1;0;1;1;1;0
Byrsonima crispa;1;0;0;0;0;0;0;0
Calatola costaricensis;1;0;0;0;0;0;0;0
Calophyllum brasiliense;1;1;1;0;0;0;0;0
Calophyllum longifolium;0;1;1;0;0;0;0;0
Chrysobalanus icaco;0;1;1;0;0;0;0;0
Chrysophyllum cainito;0;1;1;0;0;0;0;0
Clarisia biflora;0;1;1;0;0;0;0;0
Clarisia mexicana;1;0;0;0;0;0;0;0
Clusia rosea;0;1;0;0;0;0;0;0
Coccoloba uvifera;0;1;1;0;0;0;0;0
Cordia bicolor;0;1;1;0;0;0;0;0
Cordia collococca;0;1;0;0;0;0;0;0
Cynometra retusa;0;1;0;0;0;0;0;0
Diospyros nigra;0;1;1;0;0;0;0;0
Dipteryx oleifera;0;1;1;1;1;0;0;0
Eriobotrya japonica;0;0;1;0;0;0;0;0
Eugenia acapulcensis;0;0;0;0;0;0;1;0
Eugenia uniflora;0;0;1;0;0;0;0;0
Evodianthus funifer;0;0;0;0;0;0;0;1
Faramea glandulosa;1;0;0;0;0;0;0;0
Guettarda foliacea;0;1;0;0;0;0;0;0
Hernandia didymantha ;1;0;0;0;0;0;0;0
Humiriastrum diguense ;1;0;0;0;0;0;0;0
Iriartea deltoidea;1;0;0;0;0;1;0;0
Casearia procera;1;0;0;0;0;0;0;0
Licania canescens;0;0;0;0;0;0;0;1
Lucuma campechiana;0;1;0;0;0;0;0;0
Mammea americana;0;1;1;0;0;0;0;0
Manilkara bidentata;0;1;1;0;0;0;0;0
Manilkara zapota;0;1;1;0;0;0;0;0
Maranthes panamensis;1;0;0;0;0;0;0;0
Maripa nicaraguensis;1;0;0;0;0;0;0;0
Melicoccus bijugatus;0;1;1;0;0;0;0;0
Muntingia calabura ;0;1;0;0;0;0;0;0
Otoba novogranatensis;1;0;0;0;0;0;0;0
Pholidostachys pulchra;1;0;0;0;0;0;0;0
Plukenetia stipellata;1;0;0;0;0;0;0;0
Poulsenia armata;1;1;1;0;0;1;0;0
Pourouma minor;1;0;0;0;0;0;0;0
Lucuma multiflora;0;1;1;0;0;0;0;0
Prestoea decurrens;1;0;0;0;0;0;0;0
Protium panamense;1;0;0;0;0;0;0;0
Protium pittieri;1;0;0;0;0;0;0;0
Pseudolmedia glabrata;0;1;0;0;0;0;0;0
Quararibea asterolepis;0;1;1;0;1;0;0;0
Quiina macrophylla;1;0;0;0;0;0;0;0
Rinorea deflexiflora;1;0;0;0;0;0;0;0
Sacoglottis trichogyna;1;0;0;0;0;0;0;0
Sapindus saponaria;0;1;1;0;0;0;0;0
Simarouba amara;1;0;0;0;0;0;0;0
Simarouba glauca;0;1;0;0;0;0;0;0
Socratea exorrhiza;1;1;0;0;0;0;0;0
Spondias mombin;1;1;1;0;1;1;0;0
Spondias purpurea;0;1;1;0;0;0;0;0
Spondias radlkoferi;1;1;1;0;1;1;0;0
Symphonia globulifera;1;0;0;0;0;0;0;0
Syzygium cumini;0;1;1;0;0;0;0;1
Syzygium jambos;0;1;1;0;0;0;0;0
Syzygium malaccense;0;1;1;0;0;0;0;0
Terminalia catappa;0;1;1;0;0;0;0;0
Cascabela gaumeri;0;1;0;0;0;0;0;0
Trophis racemosa;1;0;0;0;0;0;0;0
Virola koschnyi;1;0;0;0;0;0;0;0
Virola sebifera;1;0;0;0;0;0;0;0
Vitex cooperi;1;0;0;0;0;0;0;0
Vitex gaumeri;0;1;0;0;0;1;0;0
Welfia regia;1;0;0;0;0;0;0;0
